presbytery,for,against,item
Arizona,2.0,33.0,Item 1
Ascension,28.0,7.0,Item 1
Blue Ridge,38.0,36.0,Item 1
Calvary,61.0,31.0,Item 1
Canada West,22.0,7.0,Item 1
Catawba Valley,31.0,6.0,Item 1
Central Carolina,41.0,11.0,Item 1
Central Florida,42.0,48.0,Item 1
Central Georgia,38.0,8.0,Item 1
Central Indiana,,,Item 1
Chesapeake,31.0,36.0,Item 1
Chicago Metro,18.0,26.0,Item 1
Columbus Metro,,,Item 1
Covenant,52.0,37.0,Item 1
Eastern Canada,,,Item 1
Eastern Carolina,22.0,27.0,Item 1
Eastern Pennsylvania,12.0,15.0,Item 1
Evangel,,,Item 1
Fellowship,33.0,4.0,Item 1
Georgia Foothills,0.0,1.0,Item 1
Grace,43.0,7.0,Item 1
Great Lakes,45.0,9.0,Item 1
Gulf Coast,35.0,2.0,Item 1
Gulfstream,26.0,11.0,Item 1
Heartland,21.0,4.0,Item 1
Heritage,19.0,20.0,Item 1
Highlands,41.0,18.0,Item 1
Hills and Plains,24.0,21.0,Item 1
Houston Metro,34.0,16.0,Item 1
Illiana,16.0,0.0,Item 1
Iowa,,,Item 1
James River,55.0,22.0,Item 1
Korean Capital,,,Item 1
Korean Central,,,Item 1
Korean Eastern,,,Item 1
Korean Northeastern,,,Item 1
Korean Northwest,,,Item 1
Korean Southeastern,27.0,3.0,Item 1
Korean Southern,,,Item 1
Korean Southwest,,,Item 1
Korean Southwest OC,,,Item 1
Lowcountry Presbytery,1.0,0.0,Item 1
Metro Atlanta,0.0,1.0,Item 1
Metropolitan New York,1.0,31.0,Item 1
Mississippi Valley,77.0,4.0,Item 1
Missouri,,,Item 1
Nashville,16.0,52.0,Item 1
New Jersey,1.0,0.0,Item 1
New River,1.0,0.0,Item 1
New York State,11.0,16.0,Item 1
North Florida,,,Item 1
North Texas,48.0,45.0,Item 1
Northern California,12.0,20.0,Item 1
Northern Illinois,11.0,15.0,Item 1
Northern New England,0.0,1.0,Item 1
Northwest Georgia,34.0,8.0,Item 1
Ohio,11.0,7.0,Item 1
Ohio Valley,17.0,28.0,Item 1
Pacific,0.0,1.0,Item 1
Pacific Northwest,21.0,37.0,Item 1
Palmetto,41.0,37.0,Item 1
Pee Dee,35.0,0.0,Item 1
Philadelphia,,,Item 1
Philadelphia Metro West,,,Item 1
Piedmont Triad,18.0,22.0,Item 1
Pittsburgh,39.0,15.0,Item 1
Platte Valley,5.0,17.0,Item 1
Potomac,,,Item 1
Providence,37.0,13.0,Item 1
Rio Grande,9.0,20.0,Item 1
Rocky Mountain,32.0,47.0,Item 1
Savannah River,39.0,1.0,Item 1
Siouxlands,16.0,13.0,Item 1
South Coast,28.0,25.0,Item 1
South Florida,,,Item 1
South Texas,23.0,29.0,Item 1
Southeast Alabama,42.0,2.0,Item 1
Southern Louisiana,10.0,13.0,Item 1
Southern New England,29.0,39.0,Item 1
Southwest Florida,51.0,14.0,Item 1
Suncoast Florida,,,Item 1
Susquehanna Valley,45.0,12.0,Item 1
Tennessee Valley,39.0,54.0,Item 1
Tidewater,17.0,23.0,Item 1
